date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:34	43/43	---M-Z	200	added ('OK')	text/plain	etag:W/%2217-ZZkCVrbr4BSdjt/K43J0tq8+Qq4%22	https://whitepaper.sheepland.io/robots.txt		(from )
23:20:34	85287/85287	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2022:20:36%20GMT	https://whitepaper.sheepland.io/	C:/Users/User/Downloads/https___whitepaper.sheepland.io_/whitepaper.sheepland.io/index.html	(from )
23:20:38	11533/11533	---M--	200	added ('OK')	image/png	etag:%227358d538127348607709bebb9235076b%22	https://200486823-files.gitbook.io/~/files/v0/b/gitbook-x-prod.appspot.com/o/spaces%2FmiTI3KtfVO5lF4MCiW4D%2Ficon%2FPM7AbiQF7OjBu5pFeCtg%2FSem%20T%c3%adtulo-14.png?alt=media&token=2ba5d882-5c18-41c1-80fc-2ed847014b76	C:/Users/User/Downloads/https___whitepaper.sheepland.io_/200486823-files.gitbook.io/_/files/v0/b/gitbook-x-prod.appspot.com/o/spaces/miTI3KtfVO5lF4MCiW4D/icon/PM7AbiQF7OjBu5pFeCtg/Sem%20T%c3%adtulo-14d507.png	(from https://whitepaper.sheepland.io/)
23:20:40	193913/193913	---MCZ	200	added ('OK')	text/css	etag:W/%22472d3d36b06c9082156045a0b4340773%22	https://app.gitbook.com/public/emojis/emoji-assets-sprite.css?v=6.0.0	C:/Users/User/Downloads/https___whitepaper.sheepland.io_/app.gitbook.com/public/emojis/emoji-assets-spriteef32.css	(from https://whitepaper.sheepland.io/)
23:20:42	215161/215161	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b69a3783e291f5ab2773a349cec626af%22	https://app.gitbook.com/public/app/public-K7MAB3YD.min.js?v=10.9.206-779b8d1da64ac405ecc531be00658f33dac192db-3600161941	C:/Users/User/Downloads/https___whitepaper.sheepland.io_/app.gitbook.com/public/app/public-K7MAB3YD.min2710.js	(from https://whitepaper.sheepland.io/)
23:20:45	24173/24173	---MCZ	200	added ('OK')	application/javascript	etag:W/%226329ca31-5e6d%22	https://cdn.iframe.ly/embed.js	C:/Users/User/Downloads/https___whitepaper.sheepland.io_/cdn.iframe.ly/embed.js	(from https://whitepaper.sheepland.io/)
23:20:46	222/222	---M-Z	200	added ('OK')	text/javascript	date:Mon,%2014%20Nov%202022%2008:57:52%20GMT	https://cdn.polyfill.io/v2/polyfill.js?features=Intl.~locale.en	C:/Users/User/Downloads/https___whitepaper.sheepland.io_/cdn.polyfill.io/v2/polyfill8a7a.js	(from https://whitepaper.sheepland.io/)
23:20:48	83850/83850	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2022:20:49%20GMT	https://whitepaper.sheepland.io/overview/what-are-the-sheeps-for	C:/Users/User/Downloads/https___whitepaper.sheepland.io_/whitepaper.sheepland.io/overview/what-are-the-sheeps-for.html	(from https://whitepaper.sheepland.io/)
23:20:49	83340/83340	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2022:20:51%20GMT	https://whitepaper.sheepland.io/overview/how-does-farm-work	C:/Users/User/Downloads/https___whitepaper.sheepland.io_/whitepaper.sheepland.io/overview/how-does-farm-work.html	(from https://whitepaper.sheepland.io/)
23:20:50	83942/83942	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2022:20:51%20GMT	https://whitepaper.sheepland.io/overview/what-is-sheep-coin	C:/Users/User/Downloads/https___whitepaper.sheepland.io_/whitepaper.sheepland.io/overview/what-is-sheep-coin.html	(from https://whitepaper.sheepland.io/)
